"","V1","id","uuid","oem","form_factor","os.grep","Segment","Vertical","industry","G22Row","continent","email","born_on_year","born_on_year_group","device_count","device_count_group","physical_server_count","physical_server_group","Employees","pc_count","pcs","program_1","program_2","program_3","program_4","program_5","program_6","program_7","program_8","program_9","program_10","program_11","program_12","program_13","program_14","program_15","program_16","program_17","program_18","program_19","program_20","program_21","program_22","program_23","program_24","program_25","program_26","program_27","program_28","program_29","program_30","program_31","program_32","program_33","ms_count","total_prog_count","percent_ms_prog","ms_fan"
"51","51",1345080,"2352a22067b7713a9ec669f14cf8ea30","hp","d","windows xp","MM","Manufacturing & Resources","engineering","UK","Europe",1,2007,"2005-2009",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"52","52",1345081,"2352a22067b7713a9ec669f14cf8ea30","hp","d","windows xp","MM","Manufacturing & Resources","engineering","UK","Europe",1,2007,"2005-2009",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"53","53",1345170,"2352a22067b7713a9ec669f14cf8ea30","hp","d","windows xp","MM","Manufacturing & Resources","engineering","UK","Europe",1,2007,"2005-2009",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"54","54",1345171,"2352a22067b7713a9ec669f14cf8ea30","intel","d","windows 8","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"55","55",1345173,"2352a22067b7713a9ec669f14cf8ea30","other","d","windows 7","MM","Manufacturing & Resources","engineering","UK","Europe",1,2011,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"56","56",1345174,"2352a22067b7713a9ec669f14cf8ea30","fujitsu","d","windows 7","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"57","57",1345175,"2352a22067b7713a9ec669f14cf8ea30","fujitsu","d","windows 10","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"58","58",1345176,"2352a22067b7713a9ec669f14cf8ea30","acer","d","windows 8","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"59","59",1345178,"2352a22067b7713a9ec669f14cf8ea30","lenovo","d","windows 10","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"60","60",1345743,"2352a22067b7713a9ec669f14cf8ea30","lenovo","d","windows 8","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",2,"2",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"61","61",1345747,"2352a22067b7713a9ec669f14cf8ea30","lenovo","d","windows 8","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"62","62",1345827,"233450609e870e8fe643dde8e1147599","other","l","windows 7","MM","Unclassified","other","Brazil","America_South",1,2013,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"63","63",1346133,"233450609e870e8fe643dde8e1147599","other","d","windows 7","MM","Unclassified","other","Brazil","America_South",1,2011,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,"no"
"64","64",1346220,"2352a22067b7713a9ec669f14cf8ea30","dell","d","windows 7","MM","Manufacturing & Resources","engineering","UK","Europe",1,2012,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"65","65",1346370,"233450609e870e8fe643dde8e1147599","gigabyte","d","windows 7","MM","Unclassified","other","Brazil","America_South",1,2007,"2005-2009",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"66","66",1346433,"2352a22067b7713a9ec669f14cf8ea30","lenovo","d","windows 10","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"67","67",1346434,"2352a22067b7713a9ec669f14cf8ea30","lenovo","d","windows 10","MM","Manufacturing & Resources","engineering","UK","Europe",1,2013,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"68","68",1346543,"233450609e870e8fe643dde8e1147599","intel","d","windows 7","MM","Unclassified","other","Brazil","America_South",1,2010,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"69","69",1346652,"2352a22067b7713a9ec669f14cf8ea30","other","d","windows 8","MM","Manufacturing & Resources","engineering","UK","Europe",1,2012,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"70","70",1346656,"2352a22067b7713a9ec669f14cf8ea30","dell","d","windows 7","MM","Manufacturing & Resources","engineering","UK","Europe",1,2009,"2005-2009",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"71","71",1346657,"2352a22067b7713a9ec669f14cf8ea30","lenovo","d","windows 7","MM","Manufacturing & Resources","engineering","UK","Europe",1,2014,"2010-2014",1,"1",23,"20-29","100-499",222,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"72","72",1346753,"231e93ca5bee5b7a1967029d126d8b78","other","d","windows 7","MM","Manufacturing & Resources","construction","Germany","Europe",1,2012,"2010-2014",1,"1",5,"5-9","50-99",45,"25-49",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,"yes"
